Country Name,Country Code,Series Name,Series Code,1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Benin,BEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.78176386785228,9.95423116708119,2.23506634402393,-4.34782273516674,7.92983956551727,7.53032483806271,2.17114159792595,-1.50000295231442,3.40524529583226,-2.85416049622336,8.9761343599898,4.22579942071668,2.95771082720395,5.83617208501383,2.02040044761662,6.04519865041564,4.32428403131786,5.73468837521307,3.96101213832645,5.34144937204417,5.85771420543269,5.33313570603937,4.64303087074482,3.44357677591658,4.42968455385082,1.71316456361184,3.94373882815798,5.98634932177609,4.89657708429647,2.31929213912838,2.11406472648392,2.96375291904201,4.811223315688,7.19143372144946,6.35767909791932,1.77815106030278,3.33967342629693,5.67156195150444,6.69725362180888,6.86568662848335,3.84879240030133,7.1554516457574,6.25294705373625
Benin,BEN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,733.490637341118,783.925193667226,778.638765032765,723.483520668885,758.361165674301,791.727164830118,785.143070110497,750.403840602099,752.704034985609,709.188907710243,749.459666582926,757.403145107877,756.080888165851,765.479914438342,752.277508740764,781.0647884601,793.7950526962,814.901395438676,821.459971433599,838.976786975768,861.213292013209,879.854463773645,893.137100961634,896.146763201736,907.624431209378,893.91536869992,900.62053578735,926.740113754071,943.203380303862,936.565651071554,928.246655329144,927.716412836707,943.918771531001,982.399206290516,1014.4330062135,1002.41886879614,1006.03926633023,1032.90471194182,1071.50452156932,1114.17304526443,1126.65404122154,1176.37727637273,1218.49668929091
Botswana,BWA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,111550709.397601,88438639.8238063,21074900.8946108,23793769.119755,62154696.1525429,53611787.5922365,70404390.657485,113583514.209604,39921524.1272293,42186013.0205889,95889963.0424102,-8211493.7828439,-1564184.90561566,-286949434.086852,-14154569.0110668,70413220.7555472,71182310.713666,100109748.737478,95318134.9210105,36675065.7829258,57171341.3548619,30680571.2084682,407997392.45524,418040676.139807,390889251.855271,420854175.013436,486913109.102447,494634226.153714,520917902.314754,208699298.206301,218379837.568308,293208060.474684,146084155.211847,67136806.1634994,515184471.01724,378554181.530078,142522598.297582,260575129.351447,285955061.932014,93607130.032602,31792610.4142282,-319055857.574533,709624140.359235
Botswana,BWA,"Population, total",SP.POP.TOTL,937485,969996,1009269,1046137,1083660,1121945,1160650,1199167,1235476,1270274,1305696,1341756,1380033,1420115,1460023,1498836,1535914,1571691,1606899,1641997,1677382,1712254,1744763,1775736,1807146,1839877,1874516,1911201,1949970,1990673,2033111,2073535,2108617,2140682,2172044,2203273,2234776,2266747,2299141,2332083,2365894,2401441,2439892
Botswana,BWA,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.777224999,0.836738332333333,1.0296608325,1.0969258325,1.29837333291667,1.90256666641667,1.8791441665,1.67894083333333,1.8285875,2.01488583333333,1.86046583333333,2.02155666666667,2.109725,2.423075,2.6846455,2.77220666666667,3.32419666666667,3.65076333333333,4.22588,4.62439525,5.10224166666667,5.84141666666667,6.32779166666667,4.94966666666667,4.69383333333333,5.11675,5.8303,6.13940833333333,6.82685833333333,7.15514166666667,6.793625,6.83823333333333,7.640525,8.39890833333333,8.97608333333333,10.1289916666667,10.9011583333333,10.3474166666667,10.199975,10.7558666666667,11.4562416666667,11.0872583333333,12.3688083333333
Botswana,BWA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,13.6324251470895,16.4280267725712,11.1372064274689,10.4771438105237,8.57746904251906,8.09457579975941,10.0017155606022,9.80193387398675,8.35167956821219,11.5750147473285,11.3963461199556,11.7650160839535,16.1676123963339,14.3308033365888,10.5429209938218,10.512546081579,10.0828580652108,8.71993127147747,6.66139865665752,7.74929619202848,8.60148514851491,6.55903767014862,8.03279662527486,9.18990265632739,6.94570363654675,8.6102252854644,11.5552187914379,7.08099847172693,12.7021883920076,8.02729703109582,6.94887658743103,8.45987233408583,7.53690261091916,5.88460707056817,4.40225309243427,3.06203169580558,2.81495791361944,3.30828076768219,3.23801558947715,2.77286442863321,1.8903591682421,7.24097765588442,11.665567478802
Botswana,BWA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,11.9869013821421,9.06485746523946,12.1655318563009,13.1467290489757,8.5453836397444,7.12527126873714,8.17292433112134,11.8819281370865,19.4499695097307,13.0594058858571,6.77282195004784,7.45870921940397,2.91707018751026,1.9161070518754,3.62791615172975,7.03041024834083,5.82980001379714,8.32589088396591,0.443663586075374,9.66724070276106,1.98769583378552,0.250573949689084,6.06953087648317,4.62589474959299,2.70582170611173,4.55664565323181,8.36387109282306,5.79255577727118,3.25207295796832,-14.1442346163423,10.119723322694,6.83841052493574,-0.170857099335691,11.1029068737822,5.69714422072884,-4.85132507409779,7.20442475914267,4.11437856445083,4.18869237159223,3.0317733945467,-8.72888243996397,11.9162724376008,5.48601706446772
Botswana,BWA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2002.99615272235,2111.34563888905,2276.04982459673,2484.51795571067,2603.44865679004,2693.78188151685,2816.7693715823,3050.23176245012,3536.42325387877,3888.73045113925,4039.46544455099,4224.09857544948,4226.73999498293,4186.14547358363,4219.4408088678,4399.1388580936,4543.2105349273,4809.4439184672,4724.93670942028,5070.94772048729,5062.64289173588,4971.96371794188,5175.47655317231,5320.440295139,5369.42516766112,5514.21742664705,5865.00026521361,6085.6354476126,6158.61629368051,5179.4138607146,5584.5034321846,5850.07858575461,5742.91924452636,6284.97678002618,6547.12254115892,6141.20394726616,6490.83463593483,6662.57644805467,6843.84612027739,6951.73189051146,6254.24806241091,6895.91184943107,7159.5860618268
Burkina Faso,BFA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,20000,2430000,1950000,1980000,1669999.9,-1429999.9,3140000,1330000,3710000,5669999.9,460000,570000,3113050,3178380,18371590,9816730,16225130,9765810,4407140,7925950,23107520,6267060,15026080,29122510,14348320,52130040.8814283,83849256.0712147,21711800.9008661,33190579.8762819,56653992.3324814,38870701.3569488,143845512.327137,329281976.028321,490403410.536841,357296974.294134,231901703.683868,390622353.410171,2572690.32188177,268414907.946195,162970140.263612,-98777856.0144418,-79957355.3390048,669738240.850164
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,6947900,7140271,7340197,7551129,7772256,7999935,8228847,8457109,8687435,8921175,9159356,9394632,9629275,9871713,10123798,10386722,10655942,10934223,11240664,11574928,11925546,12295001,12680897,13082532,13500533,13932123,14373707,14816307,15258093,15710066,16176498,16661908,17172287,17695409,18229461,18777487,19334856,19894407,20438288,20961952,21478690,21995243,22509038
